model,label,voice,n_chars,n_pieces,pieces_per_char,frag_entropy
Qwen/Qwen2.5-7B,AR,active,28,8,0.28571427551020445,0.18677189228553856
Qwen/Qwen2.5-7B,AR,passive,34,10,0.2941176384083048,0.18343719702746236
Qwen/Qwen2.5-7B,DE,active,37,11,0.2972972892622354,0.2179904793443064
Qwen/Qwen2.5-7B,DE,passive,43,12,0.27906976095186603,0.20707555414800002
Qwen/Qwen2.5-7B,EN,active,35,6,0.1714285665306124,0.29862657820367583
Qwen/Qwen2.5-7B,EN,passive,43,8,0.18604650730124403,0.2599301927089795
Qwen/Qwen2.5-7B,ES,active,31,9,0.29032257127991706,0.2441360641474688
Qwen/Qwen2.5-7B,ES,passive,45,11,0.2444444390123458,0.2179904793443064
Qwen/Qwen2.5-7B,FI,active,28,10,0.35714284438775556,0.23025850929840455
Qwen/Qwen2.5-7B,FI,passive,43,15,0.3488372011898325,0.17437537180090334
Qwen/Qwen2.5-7B,FR,active,35,12,0.3428571330612248,0.19744850997363964
Qwen/Qwen2.5-7B,FR,passive,47,17,0.3617021199637847,0.1552553286598489
Qwen/Qwen2.5-7B,HE,active,24,7,0.2916666545138894,0.24969544249439396
Qwen/Qwen2.5-7B,HE,passive,30,8,0.26666665777777804,0.23826934331660618
Qwen/Qwen2.5-7B,HI,active,20,8,0.399999980000001,0.17328679513936132
Qwen/Qwen2.5-7B,HI,passive,25,8,0.3199999872000005,0.18677189228553853
Qwen/Qwen2.5-7B,ID,active,36,12,0.33333332407407434,0.19744850997363964
Qwen/Qwen2.5-7B,ID,passive,41,13,0.31707316299821553,0.18910087151316027
Qwen/Qwen2.5-7B,IT,active,38,10,0.26315788781163457,0.23025850929840455
Qwen/Qwen2.5-7B,IT,passive,47,11,0.23404254821186068,0.2179904793443064
Qwen/Qwen2.5-7B,JA,active,11,3,0.2727272479338866,0.2121713894309376
Qwen/Qwen2.5-7B,JA,passive,12,3,0.2499999791666684,-3.3336296686061366e-13
Qwen/Qwen2.5-7B,KO,active,13,4,0.3076922840236705,0.2599301927092295
Qwen/Qwen2.5-7B,KO,passive,17,6,0.35294115570934376,0.2601184015060678
Qwen/Qwen2.5-7B,PL,active,26,12,0.4615384437869829,0.19744850997363964
Qwen/Qwen2.5-7B,PL,passive,42,16,0.3809523718820864,0.1604124323812819
Qwen/Qwen2.5-7B,PT,active,30,8,0.26666665777777804,0.2599301927089795
Qwen/Qwen2.5-7B,PT,passive,41,9,0.21951218976799539,0.2441360641474688
Qwen/Qwen2.5-7B,RU,active,29,8,0.27586205945303244,0.19494764453185962
Qwen/Qwen2.5-7B,RU,passive,37,11,0.2972972892622354,0.14924861019832011
Qwen/Qwen2.5-7B,SW,active,24,9,0.37499998437500065,0.2441360641474688
Qwen/Qwen2.5-7B,SW,passive,31,12,0.38709676170655605,0.20707555414800002
Qwen/Qwen2.5-7B,TR,active,29,12,0.41379308917954866,0.19744850997363964
Qwen/Qwen2.5-7B,TR,passive,40,14,0.34999999125000025,0.18143116455771294
Qwen/Qwen2.5-7B,VI,active,29,17,0.5862068763376939,0.14267527696586577
Qwen/Qwen2.5-7B,VI,passive,34,19,0.558823512975779,0.1319295690780527
Qwen/Qwen2.5-7B,YO,active,27,16,0.5925925706447196,0.1364372485639457
Qwen/Qwen2.5-7B,YO,passive,39,21,0.5384615246548328,0.11094627162673651
Qwen/Qwen2.5-7B,ZH,active,8,2,0.24999996875000394,-5.000444502909205e-13
Qwen/Qwen2.5-7B,ZH,passive,9,3,0.33333329629630043,0.2121713894309376
microsoft/Phi-3-mini-4k-instruct,AR,active,28,15,0.5357142665816333,0.05355433174252503
microsoft/Phi-3-mini-4k-instruct,AR,passive,34,17,0.4999999852941181,0.07038898301271349
microsoft/Phi-3-mini-4k-instruct,DE,active,37,10,0.2702702629656686,0.23025850929840455
microsoft/Phi-3-mini-4k-instruct,DE,passive,43,11,0.25581394753921055,0.2179904793443064
microsoft/Phi-3-mini-4k-instruct,EN,active,35,7,0.19999999428571447,0.27798716414975905
microsoft/Phi-3-mini-4k-instruct,EN,passive,43,9,0.20930232071389954,0.2441360641474688
microsoft/Phi-3-mini-4k-instruct,ES,active,31,8,0.2580645078043707,0.2599301927089795
microsoft/Phi-3-mini-4k-instruct,ES,passive,45,10,0.22222221728395075,0.23025850929840455
microsoft/Phi-3-mini-4k-instruct,FI,active,28,13,0.46428569770408223,0.1973037967268105
microsoft/Phi-3-mini-4k-instruct,FI,passive,43,16,0.37209301460248806,0.16787158279092423
microsoft/Phi-3-mini-4k-instruct,FR,active,35,11,0.3142857053061227,0.20653350115332386
microsoft/Phi-3-mini-4k-instruct,FR,passive,47,16,0.3404255246717974,0.1604124323812819
microsoft/Phi-3-mini-4k-instruct,HE,active,24,12,0.4999999791666675,0.10953115358349545
microsoft/Phi-3-mini-4k-instruct,HE,passive,30,15,0.4999999833333339,0.0680024638931894
microsoft/Phi-3-mini-4k-instruct,HI,active,20,10,0.4999999750000012,0.08979457248537798
microsoft/Phi-3-mini-4k-instruct,HI,passive,25,12,0.4799999808000007,0.093910732899723
microsoft/Phi-3-mini-4k-instruct,ID,active,36,15,0.41666665509259293,0.17437537180090334
microsoft/Phi-3-mini-4k-instruct,ID,passive,41,16,0.3902438929208807,0.17328679513898632
microsoft/Phi-3-mini-4k-instruct,IT,active,38,10,0.26315788781163457,0.23025850929840455
microsoft/Phi-3-mini-4k-instruct,IT,passive,47,11,0.23404254821186068,0.2179904793443064
microsoft/Phi-3-mini-4k-instruct,JA,active,11,6,0.5454544958677732,0.07509353481071744
microsoft/Phi-3-mini-4k-instruct,JA,passive,12,6,0.4999999583333368,0.1445938714130769
microsoft/Phi-3-mini-4k-instruct,KO,active,13,7,0.5384614970414233,0.1434632104358681
microsoft/Phi-3-mini-4k-instruct,KO,passive,17,9,0.5294117335640156,0.1349877393272356
microsoft/Phi-3-mini-4k-instruct,PL,active,26,15,0.5769230547337286,0.15972720795212855
microsoft/Phi-3-mini-4k-instruct,PL,passive,42,18,0.4285714183673472,0.15040387276493405
microsoft/Phi-3-mini-4k-instruct,PT,active,30,8,0.26666665777777804,0.2599301927089795
microsoft/Phi-3-mini-4k-instruct,PT,passive,41,9,0.21951218976799539,0.2441360641474688
microsoft/Phi-3-mini-4k-instruct,RU,active,29,15,0.5172413614744358,0.06355140098012607
microsoft/Phi-3-mini-4k-instruct,RU,passive,37,19,0.5135134996347703,0.047243272888107556
microsoft/Phi-3-mini-4k-instruct,SW,active,24,9,0.37499998437500065,0.2441360641474688
microsoft/Phi-3-mini-4k-instruct,SW,passive,31,12,0.38709676170655605,0.20707555414800002
microsoft/Phi-3-mini-4k-instruct,TR,active,29,14,0.48275860404280674,0.18143116455771294
microsoft/Phi-3-mini-4k-instruct,TR,passive,40,15,0.3749999906250003,0.17437537180090334
microsoft/Phi-3-mini-4k-instruct,VI,active,29,19,0.655172391200952,0.12883893817342373
microsoft/Phi-3-mini-4k-instruct,VI,passive,34,22,0.6470588044982705,0.11814701588661293
microsoft/Phi-3-mini-4k-instruct,YO,active,27,17,0.6296296063100145,0.12466358364110883
microsoft/Phi-3-mini-4k-instruct,YO,passive,39,22,0.5641025496383962,0.10949435654761541
microsoft/Phi-3-mini-4k-instruct,ZH,active,8,4,0.4999999375000079,0.2599301927092295
microsoft/Phi-3-mini-4k-instruct,ZH,passive,9,5,0.5555554938271674,0.10008048470723759
meta-llama/Llama-3.2-1B,AR,active,28,8,0.28571427551020445,0.18677189228553856
meta-llama/Llama-3.2-1B,AR,passive,34,10,0.2941176384083048,0.18343719702746236
meta-llama/Llama-3.2-1B,DE,active,37,11,0.2972972892622354,0.2179904793443064
meta-llama/Llama-3.2-1B,DE,passive,43,12,0.27906976095186603,0.20707555414800002
meta-llama/Llama-3.2-1B,EN,active,35,6,0.1714285665306124,0.29862657820367583
meta-llama/Llama-3.2-1B,EN,passive,43,8,0.18604650730124403,0.2599301927089795
meta-llama/Llama-3.2-1B,ES,active,31,9,0.29032257127991706,0.2441360641474688
meta-llama/Llama-3.2-1B,ES,passive,45,11,0.2444444390123458,0.2179904793443064
meta-llama/Llama-3.2-1B,FI,active,28,10,0.35714284438775556,0.23025850929840455
meta-llama/Llama-3.2-1B,FI,passive,43,15,0.3488372011898325,0.17437537180090334
meta-llama/Llama-3.2-1B,FR,active,35,12,0.3428571330612248,0.19744850997363964
meta-llama/Llama-3.2-1B,FR,passive,47,17,0.3617021199637847,0.1552553286598489
meta-llama/Llama-3.2-1B,HE,active,24,6,0.24999998958333375,0.29862657820367583
meta-llama/Llama-3.2-1B,HE,passive,30,8,0.26666665777777804,0.23826934331660618
meta-llama/Llama-3.2-1B,HI,active,20,8,0.399999980000001,0.17328679513936132
meta-llama/Llama-3.2-1B,HI,passive,25,8,0.3199999872000005,0.18677189228553853
meta-llama/Llama-3.2-1B,ID,active,36,12,0.33333332407407434,0.19744850997363964
meta-llama/Llama-3.2-1B,ID,passive,41,13,0.31707316299821553,0.18910087151316027
meta-llama/Llama-3.2-1B,IT,active,38,10,0.26315788781163457,0.23025850929840455
meta-llama/Llama-3.2-1B,IT,passive,47,11,0.23404254821186068,0.2179904793443064
meta-llama/Llama-3.2-1B,JA,active,11,2,0.1818181652892577,0.34657359027897267
meta-llama/Llama-3.2-1B,JA,passive,12,2,0.16666665277777895,0.34657359027897267
meta-llama/Llama-3.2-1B,KO,active,13,4,0.3076922840236705,0.2599301927092295
meta-llama/Llama-3.2-1B,KO,passive,17,6,0.35294115570934376,0.2601184015060678
meta-llama/Llama-3.2-1B,PL,active,26,12,0.4615384437869829,0.19744850997363964
meta-llama/Llama-3.2-1B,PL,passive,42,16,0.3809523718820864,0.1604124323812819
meta-llama/Llama-3.2-1B,PT,active,30,8,0.26666665777777804,0.2599301927089795
meta-llama/Llama-3.2-1B,PT,passive,41,9,0.21951218976799539,0.2441360641474688
meta-llama/Llama-3.2-1B,RU,active,29,7,0.24137930202140337,0.22140372083902884
meta-llama/Llama-3.2-1B,RU,passive,37,10,0.2702702629656686,0.18866967846510785
meta-llama/Llama-3.2-1B,SW,active,24,9,0.37499998437500065,0.2441360641474688
meta-llama/Llama-3.2-1B,SW,passive,31,12,0.38709676170655605,0.20707555414800002
meta-llama/Llama-3.2-1B,TR,active,29,11,0.37931033174791956,0.20653350115332386
meta-llama/Llama-3.2-1B,TR,passive,40,13,0.3249999918750002,0.18910087151316027
meta-llama/Llama-3.2-1B,VI,active,29,16,0.5517241189060649,0.1516259457466755
meta-llama/Llama-3.2-1B,VI,passive,34,18,0.5294117491349486,0.13918277727246764
meta-llama/Llama-3.2-1B,YO,active,27,16,0.5925925706447196,0.1364372485639457
meta-llama/Llama-3.2-1B,YO,passive,39,21,0.5384615246548328,0.11094627162673651
meta-llama/Llama-3.2-1B,ZH,active,8,1,0.12499998437500197,-1.000088900581841e-12
meta-llama/Llama-3.2-1B,ZH,passive,9,2,0.22222219753086697,0.34657359027897267
