model,label,early_lo,early_hi,delta_lambda2_mean,frag_entropy_active,frag_entropy_passive,n_chars_active,n_chars_passive,n_pieces_active,n_pieces_passive,pieces_per_char_active,pieces_per_char_passive,pieces_diff,pieces_per_char_avg,frag_entropy_avg,d_pieces_per_char,d_frag_entropy,pieces_diff_abs
Qwen/Qwen2.5-7B,AR,2,5,-0.021400012075901,0.1867718922855385,0.1834371970274623,28,34,8,10,0.2857142755102044,0.2941176384083048,2,0.2899159569592546,0.1851045446565004,0.008403362898100397,-0.003334695258076198,2
Qwen/Qwen2.5-7B,DE,2,5,-0.0035493498047192,0.2179904793443064,0.207075554148,37,43,11,12,0.2972972892622354,0.279069760951866,1,0.2881835251070507,0.2125330167461532,-0.018227528310369445,-0.010914925196306408,1
Qwen/Qwen2.5-7B,EN,2,5,-0.0298373804738124,0.2986265782036758,0.2599301927089795,35,43,6,8,0.1714285665306124,0.186046507301244,2,0.1787375369159282,0.2792783854563276,0.01461794077063161,-0.038696385494696284,2
Qwen/Qwen2.5-7B,ES,2,5,-0.0131372610727946,0.2441360641474688,0.2179904793443064,31,45,9,11,0.290322571279917,0.2444444390123458,2,0.2673835051461314,0.2310632717458876,-0.0458781322675712,-0.026145584803162397,2
Qwen/Qwen2.5-7B,FI,2,5,0.0146919265389442,0.2302585092984045,0.1743753718009033,28,43,10,15,0.3571428443877555,0.3488372011898325,5,0.352990022788794,0.2023169405496538,-0.008305643197922985,-0.055883137497501206,5
Qwen/Qwen2.5-7B,FR,2,5,-0.0291648358106613,0.1974485099736396,0.1552553286598489,35,47,12,17,0.3428571330612248,0.3617021199637847,5,0.3522796265125048,0.1763519193167442,0.018844986902559924,-0.04219318131379071,5
Qwen/Qwen2.5-7B,HE,2,5,-0.0115987583994865,0.2496954424943939,0.2382693433166061,24,30,7,8,0.2916666545138894,0.266666657777778,1,0.2791666561458337,0.2439823929055,-0.02499999673611142,-0.011426099177787807,1
Qwen/Qwen2.5-7B,HI,2,5,-0.0433416316906611,0.1732867951393613,0.1867718922855385,20,25,8,8,0.399999980000001,0.3199999872000005,0,0.3599999836000007,0.1800293437124498,-0.07999999280000047,0.01348509714617721,0
Qwen/Qwen2.5-7B,ID,2,5,0.0445039620002111,0.1974485099736396,0.1891008715131602,36,41,12,13,0.3333333240740743,0.3170731629982155,1,0.3252032435361449,0.1932746907433999,-0.016260161075858814,-0.008347638460479395,1
Qwen/Qwen2.5-7B,IT,2,5,0.0050451159477233,0.2302585092984045,0.2179904793443064,38,47,10,11,0.2631578878116345,0.2340425482118606,1,0.2486002180117475,0.2241244943213554,-0.029115339599773915,-0.012268029954098092,1
Qwen/Qwen2.5-7B,JA,2,5,0.0045617471138636,0.2121713894309376,-3.333629668606137e-13,11,12,3,3,0.2727272479338866,0.2499999791666684,0,0.2613636135502775,0.1060856947153021,-0.022727268767218173,-0.21217138943127098,0
Qwen/Qwen2.5-7B,KO,2,5,-0.0173462281624476,0.2599301927092295,0.2601184015060678,13,17,4,6,0.3076922840236705,0.3529411557093437,2,0.3303167198665071,0.2600242971076486,0.04524887168567321,0.00018820879683828506,2
Qwen/Qwen2.5-7B,PL,2,5,0.0191766321659088,0.1974485099736396,0.1604124323812819,26,42,12,16,0.4615384437869829,0.3809523718820864,4,0.4212454078345347,0.1789304711774607,-0.08058607190489647,-0.03703607759235772,4
Qwen/Qwen2.5-7B,PT,2,5,-0.0153532574574152,0.2599301927089795,0.2441360641474688,30,41,8,9,0.266666657777778,0.2195121897679953,1,0.2430894237728866,0.2520331284282241,-0.04715446800978268,-0.01579412856151069,1
Qwen/Qwen2.5-7B,RU,2,5,-0.0032247826457023,0.1949476445318596,0.1492486101983201,29,37,8,11,0.2758620594530324,0.2972972892622354,3,0.2865796743576339,0.1720981273650898,0.021435229809203038,-0.0456990343335395,3
Qwen/Qwen2.5-7B,SW,2,5,0.0118760541081428,0.2441360641474688,0.207075554148,24,31,9,12,0.3749999843750006,0.387096761706556,3,0.3810483730407783,0.2256058091477344,0.012096777331555397,-0.037060509999468805,3
Qwen/Qwen2.5-7B,TR,2,5,-0.0300688693920771,0.1974485099736396,0.1814311645577129,29,40,12,14,0.4137930891795486,0.3499999912500002,2,0.3818965402147743,0.1894398372656762,-0.0637930979295484,-0.016017345415926698,2
Qwen/Qwen2.5-7B,VI,2,5,0.0268737251559893,0.1426752769658657,0.1319295690780527,29,34,17,19,0.5862068763376939,0.558823512975779,2,0.5725151946567364,0.1373024230219592,-0.027383363361914825,-0.01074570788781301,2
Qwen/Qwen2.5-7B,YO,2,5,-0.0538627405961354,0.1364372485639457,0.1109462716267365,27,39,16,21,0.5925925706447196,0.5384615246548328,5,0.5655270476497762,0.1236917600953411,-0.05413104598988683,-0.02549097693720921,5
Qwen/Qwen2.5-7B,ZH,2,5,-0.0218117410937944,-5.000444502909205e-13,0.2121713894309376,8,9,2,3,0.2499999687500039,0.3333332962963004,1,0.2916666325231521,0.1060856947152187,0.08333332754629647,0.21217138943143765,1
microsoft/Phi-3-mini-4k-instruct,AR,2,5,0.0042440841595331,0.053554331742525,0.0703889830127134,28,34,15,17,0.5357142665816333,0.4999999852941181,2,0.5178571259378757,0.0619716573776192,-0.03571428128751525,0.0168346512701884,2
microsoft/Phi-3-mini-4k-instruct,DE,2,5,0.0045566310485203,0.2302585092984045,0.2179904793443064,37,43,10,11,0.2702702629656686,0.2558139475392105,1,0.2630421052524395,0.2241244943213554,-0.014456315426458088,-0.012268029954098092,1
microsoft/Phi-3-mini-4k-instruct,EN,2,5,-0.4460690269867579,0.277987164149759,0.2441360641474688,35,43,7,9,0.1999999942857144,0.2093023207138995,2,0.2046511574998069,0.2610616141486139,0.009302326428185098,-0.03385110000229019,2
microsoft/Phi-3-mini-4k-instruct,ES,2,5,-0.0127859661976496,0.2599301927089795,0.2302585092984045,31,45,8,10,0.2580645078043707,0.2222222172839507,2,0.2401433625441607,0.2450943510036919,-0.035842290520419984,-0.029671683410574995,2
microsoft/Phi-3-mini-4k-instruct,FI,2,5,0.0010134130716323,0.1973037967268105,0.1678715827909242,28,43,13,16,0.4642856977040822,0.372093014602488,3,0.4181893561532851,0.1825876897588673,-0.09219268310159418,-0.029432213935886298,3
microsoft/Phi-3-mini-4k-instruct,FR,2,5,-0.1340849896272024,0.2065335011533238,0.1604124323812819,35,47,11,16,0.3142857053061227,0.3404255246717974,5,0.32735561498896,0.1834729667673028,0.026139819365674666,-0.04612106877204192,5
microsoft/Phi-3-mini-4k-instruct,HE,2,5,0.0025158723195393,0.1095311535834954,0.0680024638931894,24,30,12,15,0.4999999791666675,0.4999999833333339,3,0.4999999812500006,0.0887668087383423,4.166666400795549e-09,-0.041528689690306,3
microsoft/Phi-3-mini-4k-instruct,HI,2,5,0.001183196902275,0.0897945724853779,0.093910732899723,20,25,10,12,0.4999999750000012,0.4799999808000007,2,0.4899999779000009,0.0918526526925504,-0.01999999420000048,0.0041161604143451075,2
microsoft/Phi-3-mini-4k-instruct,ID,2,5,-0.0009674876928329,0.1743753718009033,0.1732867951389863,36,41,15,16,0.4166666550925929,0.3902438929208807,1,0.4034552740067367,0.1738310834699448,-0.02642276217171219,-0.0010885766619170012,1
microsoft/Phi-3-mini-4k-instruct,IT,2,5,-0.0084087724486986,0.2302585092984045,0.2179904793443064,38,47,10,11,0.2631578878116345,0.2340425482118606,1,0.2486002180117475,0.2241244943213554,-0.029115339599773915,-0.012268029954098092,1
microsoft/Phi-3-mini-4k-instruct,JA,2,5,0.0016190260648727,0.0750935348107174,0.1445938714130769,11,12,6,6,0.5454544958677732,0.4999999583333368,0,0.522727227100555,0.1098437031118971,-0.045454537534436346,0.06950033660235949,0
microsoft/Phi-3-mini-4k-instruct,KO,2,5,-0.015443926056226,0.1434632104358681,0.1349877393272356,13,17,7,9,0.5384614970414233,0.5294117335640156,2,0.5339366153027194,0.1392254748815518,-0.009049763477407713,-0.008475471108632504,2
microsoft/Phi-3-mini-4k-instruct,PL,2,5,0.0006472170352935,0.1597272079521285,0.150403872764934,26,42,15,18,0.5769230547337286,0.4285714183673472,3,0.5027472365505379,0.1550655403585312,-0.14835163636638143,-0.009323335187194498,3
microsoft/Phi-3-mini-4k-instruct,PT,2,5,0.0034878949324289,0.2599301927089795,0.2441360641474688,30,41,8,9,0.266666657777778,0.2195121897679953,1,0.2430894237728866,0.2520331284282241,-0.04715446800978268,-0.01579412856151069,1
microsoft/Phi-3-mini-4k-instruct,RU,2,5,-0.0233453114827474,0.063551400980126,0.0472432728881075,29,37,15,19,0.5172413614744358,0.5135134996347703,4,0.515377430554603,0.0553973369341167,-0.0037278618396654473,-0.016308128092018502,4
microsoft/Phi-3-mini-4k-instruct,SW,2,5,0.0035509268442789,0.2441360641474688,0.207075554148,24,31,9,12,0.3749999843750006,0.387096761706556,3,0.3810483730407783,0.2256058091477344,0.012096777331555397,-0.037060509999468805,3
microsoft/Phi-3-mini-4k-instruct,TR,2,5,-0.0041363189617792,0.1814311645577129,0.1743753718009033,29,40,14,15,0.4827586040428067,0.3749999906250003,1,0.4288792973339035,0.1779032681793081,-0.1077586134178064,-0.00705579275680962,1
microsoft/Phi-3-mini-4k-instruct,VI,2,5,-0.0042457977930704,0.1288389381734237,0.1181470158866129,29,34,19,22,0.655172391200952,0.6470588044982705,3,0.6511155978496113,0.1234929770300183,-0.008113586702681586,-0.010691922286810804,3
microsoft/Phi-3-mini-4k-instruct,YO,2,5,0.006162499388059,0.1246635836411088,0.1094943565476154,27,39,17,22,0.6296296063100145,0.5641025496383962,5,0.5968660779742054,0.1170789700943621,-0.06552705667161829,-0.015169227093493401,5
microsoft/Phi-3-mini-4k-instruct,ZH,2,5,-0.0021151800950368,0.2599301927092295,0.1000804847072375,8,9,4,5,0.4999999375000079,0.5555554938271674,1,0.5277777156635877,0.1800053387082335,0.05555555632715953,-0.159849708001992,1
meta-llama/Llama-3.2-1B,AR,2,5,-0.0055193901062011,0.1867718922855385,0.1834371970274623,28,34,8,10,0.2857142755102044,0.2941176384083048,2,0.2899159569592546,0.1851045446565004,0.008403362898100397,-0.003334695258076198,2
meta-llama/Llama-3.2-1B,DE,2,5,-0.0237334221601485,0.2179904793443064,0.207075554148,37,43,11,12,0.2972972892622354,0.279069760951866,1,0.2881835251070507,0.2125330167461532,-0.018227528310369445,-0.010914925196306408,1
meta-llama/Llama-3.2-1B,EN,2,5,0.0042320638895034,0.2986265782036758,0.2599301927089795,35,43,6,8,0.1714285665306124,0.186046507301244,2,0.1787375369159282,0.2792783854563276,0.01461794077063161,-0.038696385494696284,2
meta-llama/Llama-3.2-1B,ES,2,5,0.0066214650869369,0.2441360641474688,0.2179904793443064,31,45,9,11,0.290322571279917,0.2444444390123458,2,0.2673835051461314,0.2310632717458876,-0.0458781322675712,-0.026145584803162397,2
meta-llama/Llama-3.2-1B,FI,2,5,-0.0428457508484521,0.2302585092984045,0.1743753718009033,28,43,10,15,0.3571428443877555,0.3488372011898325,5,0.352990022788794,0.2023169405496538,-0.008305643197922985,-0.055883137497501206,5
meta-llama/Llama-3.2-1B,FR,2,5,-0.0018046796321868,0.1974485099736396,0.1552553286598489,35,47,12,17,0.3428571330612248,0.3617021199637847,5,0.3522796265125048,0.1763519193167442,0.018844986902559924,-0.04219318131379071,5
meta-llama/Llama-3.2-1B,HE,2,5,-0.0082058111826578,0.2986265782036758,0.2382693433166061,24,30,6,8,0.2499999895833337,0.266666657777778,2,0.2583333236805558,0.2684479607601409,0.01666666819444429,-0.06035723488706968,2
meta-llama/Llama-3.2-1B,HI,2,5,-0.0175426602363586,0.1732867951393613,0.1867718922855385,20,25,8,8,0.399999980000001,0.3199999872000005,0,0.3599999836000007,0.1800293437124498,-0.07999999280000047,0.01348509714617721,0
meta-llama/Llama-3.2-1B,ID,2,5,0.0068433135747909,0.1974485099736396,0.1891008715131602,36,41,12,13,0.3333333240740743,0.3170731629982155,1,0.3252032435361449,0.1932746907433999,-0.016260161075858814,-0.008347638460479395,1
meta-llama/Llama-3.2-1B,IT,2,5,-0.0070624500513076,0.2302585092984045,0.2179904793443064,38,47,10,11,0.2631578878116345,0.2340425482118606,1,0.2486002180117475,0.2241244943213554,-0.029115339599773915,-0.012268029954098092,1
meta-llama/Llama-3.2-1B,JA,2,5,-0.0047624856233597,0.3465735902789726,0.3465735902789726,11,12,2,2,0.1818181652892577,0.1666666527777789,0,0.1742424090335183,0.3465735902789726,-0.01515151251147881,0.0,0
meta-llama/Llama-3.2-1B,KO,2,5,0.0085851202408472,0.2599301927092295,0.2601184015060678,13,17,4,6,0.3076922840236705,0.3529411557093437,2,0.3303167198665071,0.2600242971076486,0.04524887168567321,0.00018820879683828506,2
meta-llama/Llama-3.2-1B,PL,2,5,-0.0178853621085484,0.1974485099736396,0.1604124323812819,26,42,12,16,0.4615384437869829,0.3809523718820864,4,0.4212454078345347,0.1789304711774607,-0.08058607190489647,-0.03703607759235772,4
meta-llama/Llama-3.2-1B,PT,2,5,-0.0021082311868667,0.2599301927089795,0.2441360641474688,30,41,8,9,0.266666657777778,0.2195121897679953,1,0.2430894237728866,0.2520331284282241,-0.04715446800978268,-0.01579412856151069,1
meta-llama/Llama-3.2-1B,RU,2,5,-0.0004204263289769,0.2214037208390288,0.1886696784651078,29,37,7,10,0.2413793020214033,0.2702702629656686,3,0.2558247824935359,0.2050366996520682,0.02889096094426527,-0.032734042373920996,3
meta-llama/Llama-3.2-1B,SW,2,5,-0.0082533508539199,0.2441360641474688,0.207075554148,24,31,9,12,0.3749999843750006,0.387096761706556,3,0.3810483730407783,0.2256058091477344,0.012096777331555397,-0.037060509999468805,3
meta-llama/Llama-3.2-1B,TR,2,5,-0.017875259121259,0.2065335011533238,0.1891008715131602,29,40,11,13,0.3793103317479195,0.3249999918750002,2,0.3521551618114599,0.197817186333242,-0.05431033987291928,-0.017432629640163594,2
meta-llama/Llama-3.2-1B,VI,2,5,0.0038470278183619,0.1516259457466755,0.1391827772724676,29,34,16,18,0.5517241189060649,0.5294117491349486,2,0.5405679340205067,0.1454043615095715,-0.02231236977111628,-0.0124431684742079,2
meta-llama/Llama-3.2-1B,YO,2,5,-0.017915204167366,0.1364372485639457,0.1109462716267365,27,39,16,21,0.5925925706447196,0.5384615246548328,5,0.5655270476497762,0.1236917600953411,-0.05413104598988683,-0.02549097693720921,5
meta-llama/Llama-3.2-1B,ZH,2,5,0.0091026077667872,-1.000088900581841e-12,0.3465735902789726,8,9,1,2,0.1249999843750019,0.2222221975308669,1,0.1736110909529344,0.1732867951389862,0.09722221315586499,0.3465735902799727,1
