model,full_name,layer,energy,smoothness_index,spectral_entropy,hfer,fiedler_value
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,0,52.545570373535156,0.23817624768368534,1.1834776401519775,0.06372645497322083,0.6033286452293396
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,1,107.71495056152344,0.19256988999041297,1.145713448524475,0.10203385353088379,0.17141330242156982
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,2,3419551.5,0.5002626723499278,1.1017835140228271,0.014179571531713009,0.3842587471008301
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,3,4725396.5,0.6910842692291043,0.6957306265830994,0.4783753752708435,0.9522596597671509
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,4,15377126.0,0.6973564796162426,0.6944628953933716,0.47512349486351013,0.9577282667160034
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,5,15315769.0,0.6942221317691192,0.6954485177993774,0.47572144865989685,0.9414726495742798
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,6,15161256.0,0.68591857065688,0.6961818933486938,0.4810068905353546,0.9368953704833984
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,7,18352316.0,0.6813043099922813,0.6964045166969299,0.4816237688064575,0.8976787328720093
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,8,18157854.0,0.6739882467204332,0.695454478263855,0.4839150607585907,0.9037283658981323
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,9,17794494.0,0.6603386403383642,0.7080535888671875,0.49047818779945374,0.8389040231704712
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,10,17825064.0,0.6616985810263615,0.7037392854690552,0.4866335391998291,0.8719651699066162
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,11,17737760.0,0.6592420345960689,0.6998974084854126,0.4878275990486145,0.8146836757659912
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,12,17604870.0,0.654823273033602,0.7032705545425415,0.48934340476989746,0.8222527503967285
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,13,18304628.0,0.6622114121333054,0.7009904980659485,0.4805908203125,0.8082295656204224
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,14,17975056.0,0.6515974546054584,0.708154022693634,0.4862266778945923,0.8724640607833862
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,15,17865180.0,0.6483816064574891,0.7070857286453247,0.4855765700340271,0.7619434595108032
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,16,17845920.0,0.6478295036948881,0.69938063621521,0.48483970761299133,0.8180446624755859
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,17,17827140.0,0.6473242880759641,0.7072916030883789,0.48167070746421814,0.8210890293121338
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,18,17711224.0,0.6429361339549623,0.7032278776168823,0.483042448759079,0.8125013113021851
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,19,17924454.0,0.643138271656677,0.7051441073417664,0.4805946350097656,0.8072621822357178
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,20,18057912.0,0.6473910636796715,0.7068196535110474,0.4714687764644623,0.8615316152572632
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,21,17800444.0,0.6374041482659601,0.7087774276733398,0.4765302538871765,0.8079982995986938
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,22,17887972.0,0.6395822971866988,0.7143682241439819,0.47088173031806946,0.7641096115112305
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,23,17939828.0,0.6396054630388639,0.7148208618164062,0.46853265166282654,0.7897064685821533
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,24,17833236.0,0.6332713741973863,0.7205671072006226,0.4718567430973053,0.763479471206665
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,25,18078630.0,0.6407656510541216,0.7280072569847107,0.4652114510536194,0.7293150424957275
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,26,18180060.0,0.6410764463155257,0.7349778413772583,0.4655251204967499,0.7645117044448853
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,27,18022630.0,0.6402155101368057,0.7380001544952393,0.46851876378059387,0.7129803895950317
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,28,17689968.0,0.6287846399115534,0.7435703277587891,0.48024678230285645,0.7039471864700317
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,29,1355469.75,0.5306385519175153,1.048834204673767,0.36415329575538635,0.7277579307556152
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,30,1345740.875,0.4811231401153059,1.0572125911712646,0.35064029693603516,0.6606204509735107
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,31,7138.5810546875,0.16391187321858489,0.8437459468841553,0.1801755577325821,0.5628246068954468
llama-3.2-1b,meta-llama/Llama-3.2-1B,0,894.1307983398438,0.6652557708947583,0.7768499851226807,0.5138406753540039,0.8006936311721802
llama-3.2-1b,meta-llama/Llama-3.2-1B,1,128386.9140625,0.7260912715244522,0.6992919445037842,0.49267128109931946,0.9206404685974121
llama-3.2-1b,meta-llama/Llama-3.2-1B,2,128782.828125,0.726581905105793,0.7053146362304688,0.4911763370037079,0.9267253875732422
llama-3.2-1b,meta-llama/Llama-3.2-1B,3,125703.0859375,0.7073850494541,0.7156763076782227,0.5036521553993225,0.8976255655288696
llama-3.2-1b,meta-llama/Llama-3.2-1B,4,125400.5703125,0.7028811814263511,0.7163313031196594,0.5072576403617859,0.8587826490402222
llama-3.2-1b,meta-llama/Llama-3.2-1B,5,127369.40625,0.7108153668428785,0.7035064697265625,0.5040878653526306,0.8842300176620483
llama-3.2-1b,meta-llama/Llama-3.2-1B,6,124167.421875,0.6895396032232772,0.7257713079452515,0.5148202776908875,0.7996417284011841
llama-3.2-1b,meta-llama/Llama-3.2-1B,7,127982.265625,0.707278622287303,0.7041585445404053,0.5042071342468262,0.8812354803085327
llama-3.2-1b,meta-llama/Llama-3.2-1B,8,124587.296875,0.6859423821567975,0.7122962474822998,0.514552891254425,0.7980940341949463
llama-3.2-1b,meta-llama/Llama-3.2-1B,9,122350.90625,0.6704089794960172,0.735386073589325,0.5152846574783325,0.7743029594421387
llama-3.2-1b,meta-llama/Llama-3.2-1B,10,126718.296875,0.692922425732719,0.7046678066253662,0.496520459651947,0.8321192264556885
llama-3.2-1b,meta-llama/Llama-3.2-1B,11,125334.484375,0.6838619830053446,0.7103413343429565,0.4931735396385193,0.8128851652145386
llama-3.2-1b,meta-llama/Llama-3.2-1B,12,124159.796875,0.6753637880893743,0.7128664255142212,0.483894020318985,0.7823336124420166
llama-3.2-1b,meta-llama/Llama-3.2-1B,13,123300.3046875,0.6684831378103487,0.7153366804122925,0.4718981087207794,0.7911591529846191
llama-3.2-1b,meta-llama/Llama-3.2-1B,14,126171.28125,0.6524086231778323,0.718543291091919,0.47366970777511597,0.7703015804290771
llama-3.2-1b,meta-llama/Llama-3.2-1B,15,43068.7890625,0.6129271156851073,1.3638279438018799,0.38068050146102905,0.6550871133804321
qwen2.5-7b,Qwen/Qwen2.5-7B,0,1149.057861328125,0.3330238628818296,1.2897145748138428,0.24367943406105042,0.43418169021606445
qwen2.5-7b,Qwen/Qwen2.5-7B,1,3836.537109375,0.32484384216975004,1.0716943740844727,0.29392921924591064,0.628734827041626
qwen2.5-7b,Qwen/Qwen2.5-7B,2,4779.35546875,0.3926880992251446,1.1543076038360596,0.2857797145843506,0.7228408455848694
qwen2.5-7b,Qwen/Qwen2.5-7B,3,64597232.0,0.6092685219908203,1.320043683052063,0.0005428270669654012,0.657121479511261
qwen2.5-7b,Qwen/Qwen2.5-7B,4,111449280.0,0.6662616821625369,0.7189123630523682,0.4762784242630005,0.10788798332214355
qwen2.5-7b,Qwen/Qwen2.5-7B,5,115460336.0,0.6702723101921592,0.701392412185669,0.47000664472579956,0.07504940032958984
qwen2.5-7b,Qwen/Qwen2.5-7B,6,131350752.0,0.7431580738810881,0.7589017152786255,0.5070553421974182,0.22895923256874084
qwen2.5-7b,Qwen/Qwen2.5-7B,7,109327264.0,0.6090772644625403,0.7388434410095215,0.49607956409454346,0.08485245704650879
qwen2.5-7b,Qwen/Qwen2.5-7B,8,116245784.0,0.6407844522469557,0.7466169595718384,0.4793402850627899,0.07732892036437988
qwen2.5-7b,Qwen/Qwen2.5-7B,9,114562552.0,0.6122244388737442,0.7486662864685059,0.49002695083618164,0.06007528305053711
qwen2.5-7b,Qwen/Qwen2.5-7B,10,113477944.0,0.6017057192136156,0.7293038368225098,0.4970453381538391,0.06252086162567139
qwen2.5-7b,Qwen/Qwen2.5-7B,11,119443088.0,0.6080557608148861,0.7438271045684814,0.4773609936237335,0.06065869331359863
qwen2.5-7b,Qwen/Qwen2.5-7B,12,123292656.0,0.6134100681901874,0.7142627239227295,0.47960996627807617,0.0349726676940918
qwen2.5-7b,Qwen/Qwen2.5-7B,13,118314408.0,0.5839382848744308,0.8011733293533325,0.48216915130615234,0.05723607540130615
qwen2.5-7b,Qwen/Qwen2.5-7B,14,126615488.0,0.6232169512546057,0.7021692991256714,0.4750096797943115,0.03478074073791504
qwen2.5-7b,Qwen/Qwen2.5-7B,15,121534648.0,0.595577303202871,0.7464700937271118,0.48611441254615784,0.06528949737548828
qwen2.5-7b,Qwen/Qwen2.5-7B,16,126350856.0,0.6183817983460388,0.719649076461792,0.4765426814556122,0.03578352928161621
qwen2.5-7b,Qwen/Qwen2.5-7B,17,124119896.0,0.6078193249959962,0.7265287637710571,0.4826865792274475,0.04074859619140625
qwen2.5-7b,Qwen/Qwen2.5-7B,18,118138072.0,0.5795359617989404,0.7440739870071411,0.49435070157051086,0.03707432746887207
qwen2.5-7b,Qwen/Qwen2.5-7B,19,120907760.0,0.5939202658642868,0.7403501272201538,0.4951407313346863,0.061940789222717285
qwen2.5-7b,Qwen/Qwen2.5-7B,20,118637400.0,0.5900429678466883,0.7238274216651917,0.49185580015182495,0.05365598201751709
qwen2.5-7b,Qwen/Qwen2.5-7B,21,122209352.0,0.6093480438971453,0.7157144546508789,0.4828451871871948,0.07330822944641113
qwen2.5-7b,Qwen/Qwen2.5-7B,22,128212384.0,0.6424353954807062,0.7024043798446655,0.4659923315048218,0.054965972900390625
qwen2.5-7b,Qwen/Qwen2.5-7B,23,128307960.0,0.6485977892548481,0.715694785118103,0.4789500832557678,0.10415768623352051
qwen2.5-7b,Qwen/Qwen2.5-7B,24,130773624.0,0.6722988431906739,0.7170413732528687,0.48434942960739136,0.13783422112464905
qwen2.5-7b,Qwen/Qwen2.5-7B,25,113467424.0,0.6071208768028267,0.7168196439743042,0.4809735119342804,0.08023786544799805
qwen2.5-7b,Qwen/Qwen2.5-7B,26,6703592.0,0.47333808959739526,0.8359951376914978,0.3720663785934448,0.10390019416809082
qwen2.5-7b,Qwen/Qwen2.5-7B,27,191905.140625,0.27060982702287195,1.4001837968826294,0.17217659950256348,0.07137501239776611
