Model,Metric,Baseline_Condition,Comparison_Condition,Phenomenon,Overall_Hedges_g,Overall_P_value,Early_Layers_g,Early_Layers_p,Final_Layers_g,Final_Layers_p,Max_Absolute_Diff,Max_Absolute_Diff_Layer,Max_Percent_Change,Max_Percent_Change_Layer,Baseline_Mean,Comparison_Mean,Effect_Magnitude_Overall,Effect_Magnitude_Early,Effect_Magnitude_Final
Qwen2.5 7B,Energy,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,0.014664908942385566,0.9558279759979961,0.005566436224442993,0.9893076855479945,0.011024546781553268,0.9850752470062272,2713184.0,18,14.312188081826887,27,95425500.49659947,94743183.49642508,Negligible,Negligible,Negligible
Qwen2.5 7B,Hfer,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,-0.016199848028837394,0.9512102487697472,-0.011689170749694609,0.9775492696897307,0.003029935884992227,0.9958978845133866,0.0166262686252594,1,16.85316829097396,3,0.42275793557720526,0.4244706840919597,Negligible,Negligible,Negligible
Qwen2.5 7B,Spectral Entropy,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,-0.022362563228282215,0.9326888245358245,-0.055280894706884166,0.894146455028107,0.026854787468402922,0.9636571870151722,0.06966245174407959,3,5.70793422695654,3,0.8022268478359494,0.8063813256365913,Negligible,Negligible,Negligible
Qwen2.5 7B,Smoothness Index,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,0.0448785499328579,0.8654134966805341,0.015225640730786442,0.9707598655298488,0.05501555203932628,0.9256454200411659,0.026179795698505037,27,10.77768155574892,27,0.5253574034902806,0.521051349913756,Negligible,Negligible,Negligible
Qwen2.5 7B,Fiedler Value,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,-0.013740502882849039,0.9586097148456546,-0.006622786525367209,0.9872787605908313,-0.2826088487930435,0.6340967056690658,0.01276475191116333,0,19.502196107003876,27,0.1397459874195712,0.1424696607781308,Negligible,Negligible,Small
LLaMA 3.2 1B,Energy,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,0.006727005142918594,0.9845563894845051,0.005332732530034665,0.9897565692227817,0.008199553910470751,0.9888993046467451,553.03515625,15,1.5157184446759076,15,106491.20524597168,106250.02585983276,Negligible,Negligible,Negligible
LLaMA 3.2 1B,Hfer,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,-0.03745974412035629,0.9141703040496991,-0.10084266500707283,0.8083171545506057,-0.04177461920246404,0.9434992741735371,0.009406685829162598,15,2.613216316101513,15,0.4825695063918829,0.4838732145726681,Negligible,Negligible,Negligible
LLaMA 3.2 1B,Spectral Entropy,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,0.01290927550352662,0.9703685764846934,-0.02166453261632903,0.9584045462609425,0.025069075905267975,0.966071999068022,0.03958773612976074,15,2.8327528831150572,15,0.7650726996362209,0.7628859058022499,Negligible,Negligible,Negligible
LLaMA 3.2 1B,Smoothness Index,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,0.07263616940954344,0.8345000916863031,0.05482500772038141,0.8950139376537879,0.13758615555839485,0.8157284060877229,0.008542190467442312,15,1.4022267608087966,15,0.6522653488991009,0.6505868415749483,Negligible,Negligible,Negligible
LLaMA 3.2 1B,Fiedler Value,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,0.0012806186668016246,0.9970598169400138,-0.07327508564043632,0.8600263444032621,0.0948390817773423,0.8722600990141888,0.01814091205596924,7,2.0341975969581343,7,0.8368514887988567,0.8367531299591064,Negligible,Negligible,Negligible
Phi-3 Mini,Energy,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,0.0005660629478652155,0.9981785367617537,0.0015194984693315031,0.9970811773780496,-1.613150120240368e-05,0.9999781600560326,117538.0,14,4.207552965179389,30,14216117.102823973,14212154.520185947,Negligible,Negligible,Negligible
Phi-3 Mini,Hfer,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,0.005651512007454109,0.9818163020811406,0.00898879641883832,0.9827347237357309,-0.004720750486418376,0.9936088027600438,0.011635266244411469,0,20.197664759109653,0,0.4350194672588259,0.4343465552665293,Negligible,Negligible,Negligible
Phi-3 Mini,Spectral Entropy,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,-0.014830154424958643,0.9523089822953508,-0.01856622734333802,0.9643486088487346,-0.022109351390172925,0.9700752329216277,0.043020546436309814,2,5.441206525814153,2,0.7856053709983826,0.7881257962435484,Negligible,Negligible,Negligible
Phi-3 Mini,Smoothness Index,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,-0.0035339796771140836,0.9886288325365993,0.0055749313486983115,0.989291368703797,-0.024980181632868914,0.966192220464487,0.00809383796775942,29,4.334877205755146,31,0.6067521735313716,0.6072467267751194,Negligible,Negligible,Negligible
Phi-3 Mini,Fiedler Value,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,0.018536817072949154,0.9404094994353239,-0.01011085282206943,0.9805799610095604,-0.03572078676285037,0.9516741513457546,0.06067371368408203,22,7.571161492168933,22,0.7853914201259613,0.7826554849743843,Negligible,Negligible,Negligible
Qwen2.5 7B,Energy,Declarative,Wh Question,Declarative vs Wh Question,-0.20704340370610852,0.4355075210236169,-0.16712468215192253,0.6880320927754668,-0.0953806317647009,0.8715382353933511,14608784.0,17,45.56012681776068,0,94328785.86582293,104571490.97345407,Small,Negligible,Negligible
Qwen2.5 7B,Hfer,Declarative,Wh Question,Declarative vs Wh Question,-0.04087507821976383,0.8773170214292398,-0.28658612634035535,0.4928251545473723,0.25088185516235456,0.6721515192631579,0.24887029454112053,1,580.6914828841219,1,0.44091751652636696,0.4453887290188244,Negligible,Small,Small
Qwen2.5 7B,Spectral Entropy,Declarative,Wh Question,Declarative vs Wh Question,0.16352417986983,0.5375324037203733,0.3182983499138744,0.44686257162800513,0.10120485876485535,0.8637830227250716,0.4994848966598511,3,36.88515325183119,3,0.8372761990342822,0.7973552495241165,Negligible,Small,Negligible
Qwen2.5 7B,Smoothness Index,Declarative,Wh Question,Declarative vs Wh Question,0.5021253114674303,0.0620625487513645,0.3051137378888772,0.4656463426962949,0.5649385433744063,0.3516508845659912,0.1865542737738234,27,35.532925302280766,27,0.6080521514463827,0.5616756721688443,Medium,Small,Medium
Qwen2.5 7B,Fiedler Value,Declarative,Wh Question,Declarative vs Wh Question,0.13404974006334203,0.6130584835020947,-0.05571008294324853,0.8933299005319494,0.07398732230665137,0.9001448133418702,0.09822756052017212,1,18.420056673486325,1,0.8187930498804364,0.8007239337478366,Negligible,Negligible,Negligible
LLaMA 3.2 1B,Energy,Declarative,Wh Question,Declarative vs Wh Question,0.17180934362738745,0.6217545878756243,0.14938712967591602,0.7195504181931557,0.18422903485721223,0.7553397546963881,7926.5546875,12,16.612703239382963,15,113869.24718475342,107569.13145446777,Negligible,Negligible,Negligible
LLaMA 3.2 1B,Hfer,Declarative,Wh Question,Declarative vs Wh Question,0.056018575200959146,0.8719688453171816,1.2932046829422674,0.005009676224380962,-0.10816139663432585,0.854540712695258,0.07046729326248169,15,25.219690619376678,15,0.4819317813962698,0.47927068918943405,Negligible,Very Large,Negligible
LLaMA 3.2 1B,Spectral Entropy,Declarative,Wh Question,Declarative vs Wh Question,0.1029062993263947,0.767311055618303,0.23209234441005291,0.5778296171429088,0.13778864492313553,0.8154630443723374,0.24565446376800537,15,14.536104959659063,15,0.7931769043207169,0.7707356251776218,Negligible,Small,Negligible
LLaMA 3.2 1B,Smoothness Index,Declarative,Wh Question,Declarative vs Wh Question,1.5537226777937347,9.301939139516324e-05,1.8594757023754434,0.00020258903481894973,1.3738020398150557,0.04284754030117133,0.04233335140130845,12,6.1230251770698985,12,0.6939564497197098,0.6594178412085088,Very Large,Very Large,Very Large
LLaMA 3.2 1B,Fiedler Value,Declarative,Wh Question,Declarative vs Wh Question,0.1684930580601842,0.6284709500039796,0.2659166173842109,0.5241988267389266,-0.017459012694743602,0.976366918047143,0.07419800758361816,8,9.79222795848807,8,0.82624601572752,0.8140000104904175,Negligible,Small,Negligible
Phi-3 Mini,Energy,Declarative,Wh Question,Declarative vs Wh Question,0.2245924539860913,0.36665273430710543,0.16919088613849315,0.6843969079569234,0.08873526840775489,0.8804048717167616,2111164.0,25,28.32909475563498,31,13862194.449861646,12402247.59559524,Small,Negligible,Negligible
Phi-3 Mini,Hfer,Declarative,Wh Question,Declarative vs Wh Question,0.05832165241474519,0.8140909040965554,0.0005833589400969168,0.9988794166026542,0.3871694083046325,0.5170434926932769,0.13159772753715515,31,143.4754867521947,2,0.42505329523100954,0.41718764239703887,Negligible,Negligible,Small
Phi-3 Mini,Spectral Entropy,Declarative,Wh Question,Declarative vs Wh Question,-0.07404903713075633,0.7653037639640274,-0.014173827254536935,0.9727789491596626,-0.3367854233560322,0.5717566271005603,0.22136735916137695,2,20.132148215607586,31,0.8017249070107937,0.8170261904597282,Negligible,Negligible,Small
Phi-3 Mini,Smoothness Index,Declarative,Wh Question,Declarative vs Wh Question,-0.0009785246308745864,0.9968513334133359,-0.02616347327401084,0.9497779067972802,0.1499261723124031,0.7996043542018596,0.08761710266685258,31,21.0648292161081,31,0.6021452503966862,0.6022668239245088,Negligible,Negligible,Negligible
Phi-3 Mini,Fiedler Value,Declarative,Wh Question,Declarative vs Wh Question,0.0675017061805061,0.7855106197102086,-0.08900383877259405,0.83042822002255,-0.03286153448471183,0.9555373641019484,0.12898951768875122,1,77.72824772068351,1,0.8192258067429066,0.8082160111516714,Negligible,Negligible,Negligible
Qwen2.5 7B,Energy,Einstein Active,Einstein Passive,Einstein Active vs Einstein Passive,-0.2326055640151614,0.38133983398484295,-0.15005302257861217,0.7183574190481272,-0.12287293006572395,0.8350755579080233,17903824.0,16,42.956324632601806,27,94228117.46721976,105938982.40038626,Small,Negligible,Negligible
Qwen2.5 7B,Hfer,Einstein Active,Einstein Passive,Einstein Active vs Einstein Passive,0.03593250930754452,0.8920519034528802,0.2013950913293478,0.6288005255115148,-0.3027334807463513,0.610535623036914,0.31155209243297577,3,98.61881629725168,3,0.4366647478725229,0.4316200943929808,Negligible,Small,Small
Qwen2.5 7B,Spectral Entropy,Einstein Active,Einstein Passive,Einstein Active vs Einstein Passive,-0.017067274953681988,0.9486014066404147,-0.0818113969078803,0.8439335791920738,0.06373304459868893,0.9139146542242234,0.17322266101837158,0,12.517355580636453,0,0.8511490481240409,0.8563330109630313,Negligible,Negligible,Negligible
Qwen2.5 7B,Smoothness Index,Einstein Active,Einstein Passive,Einstein Active vs Einstein Passive,-0.17737262711452656,0.5037800566542174,-0.014059160788999957,0.9729990769618904,-0.3004818339585253,0.6131486126807808,0.12295812246497356,3,23.998492625400768,3,0.6055075171031072,0.6248812226349549,Negligible,Negligible,Small
Qwen2.5 7B,Fiedler Value,Einstein Active,Einstein Passive,Einstein Active vs Einstein Passive,0.050608554542580834,0.8484316158898345,0.09564928972526884,0.8179976017447088,-0.13530812903789516,0.8187154887135997,0.1255526840686798,0,30.5793998659336,0,0.7850641448582921,0.7773920787232262,Negligible,Negligible,Negligible
LLaMA 3.2 1B,Energy,Einstein Active,Einstein Passive,Einstein Active vs Einstein Passive,-0.11032644717630784,0.7510959156835553,-0.09780651998903311,0.813972800037835,-0.11550387154475343,0.8448115402469462,5665.2109375,15,12.321922713875836,15,114206.57522583008,118374.47821044922,Negligible,Negligible,Negligible
LLaMA 3.2 1B,Hfer,Einstein Active,Einstein Passive,Einstein Active vs Einstein Passive,-0.16047703464028967,0.6448386982069161,-1.0600426791439885,0.017723583959640195,-0.1166907538007171,0.8432414664070146,0.03738294541835785,15,15.381704913686614,15,0.477794392965734,0.48770966194570065,Negligible,Large,Negligible
LLaMA 3.2 1B,Spectral Entropy,Einstein Active,Einstein Passive,Einstein Active vs Einstein Passive,-0.005741275558447657,0.9868191562643867,-0.18534169345465287,0.6562585171259002,0.016764142057687142,0.9773072073179806,0.059132933616638184,15,4.002288688869492,0,0.7992957904934883,0.8008003681898117,Negligible,Negligible,Negligible
LLaMA 3.2 1B,Smoothness Index,Einstein Active,Einstein Passive,Einstein Active vs Einstein Passive,-0.7442557753761438,0.03892962720369844,-1.0771779339129104,0.016191571856299446,-0.39516077923782045,0.5086704531798389,0.0273954421610606,1,3.7591990663832426,1,0.6965643489885625,0.7175511299840017,Medium,Large,Small
LLaMA 3.2 1B,Fiedler Value,Einstein Active,Einstein Passive,Einstein Active vs Einstein Passive,0.05202364146557528,0.8810251692488358,0.1489084709682764,0.7204084274078975,-0.11811286086879454,0.841361206613524,0.05657362937927246,0,6.907583664430822,0,0.8164637461304665,0.8126454837620258,Negligible,Negligible,Negligible
Phi-3 Mini,Energy,Einstein Active,Einstein Passive,Einstein Active vs Einstein Passive,-0.3535172586772901,0.1573215998925418,-0.24919153407725161,0.5503717618691963,-0.14157292845133249,0.8105084509236514,3483096.0,8,44.5152597068575,1,13893017.416433334,16551630.0280447,Small,Small,Negligible
Phi-3 Mini,Hfer,Einstein Active,Einstein Passive,Einstein Active vs Einstein Passive,-0.06016405867420712,0.8083332024714578,-0.04038575947152562,0.9225536993390513,0.07018556944681106,0.9052460268023335,0.04268968105316162,31,95.20386016764797,2,0.4198799290898023,0.428220019890432,Negligible,Negligible,Negligible
Phi-3 Mini,Spectral Entropy,Einstein Active,Einstein Passive,Einstein Active vs Einstein Passive,-0.10879929837239562,0.6610725068125356,-0.07007691791432831,0.8660721303005462,-0.2545092353284942,0.6677465577963135,0.15917396545410156,1,13.598487517990462,1,0.8092828989028931,0.8326288089156151,Negligible,Negligible,Small
Phi-3 Mini,Smoothness Index,Einstein Active,Einstein Passive,Einstein Active vs Einstein Passive,-0.3145023200345581,0.20760278730603324,-0.19473055578545573,0.6401356875109943,-0.06004941522426275,0.9188690006800709,0.06939382164113439,31,16.36497125443408,31,0.6038372392104572,0.647752273446793,Small,Negligible,Negligible
Phi-3 Mini,Fiedler Value,Einstein Active,Einstein Passive,Einstein Active vs Einstein Passive,0.09953906357908295,0.6882967872324829,0.08354752872081905,0.8406689208529327,-0.015416712689877262,0.9791306361786547,0.06813085079193115,2,19.753606573072098,2,0.7898931242525578,0.7727498300373554,Negligible,Negligible,Negligible
